Year,Month,Date,ConsumerPriceIndex,Inflation
1991,December,December1991,270.2,170.2
1992,December,December1992,310.4,210.4
1993,December,December1993,356.1,256.1
1994,December,December1994,236.7,136.7
1995,December,December1995,132.3,32.3
1996,December,December1996,138.8,38.8
1997,December,December1997,254.8,154.8
1998,December,December1998,159.1,59.1
1999,December,December1999,145.8,45.8
2000,December,December2000,145.7,45.7
2001,December,December2001,134.5,34.5
2002,December,December2002,122.5,22.5
2003,December,December2003,115.3,15.3
2004,December,December2004,111.9,11.9
2005,December,December2005,109,9
2006,December,December2006,106.56,6.6
2007,December,December2007,104.84,4.8
2008,December,December2008,107.85,7.9
2009,December,December2009,105.59,5.6
2010,December,December2010,106.09,6.1
2011,December,December2011,105.79,5.8
2012,December,December2012,103.33,3.3
2013,December,December2013,103.98,4
2014,December,December2014,101.07,1.1
2015,December,December2015,99.41,-0.6
2016,December,December2016,98.45,-1.5
2017,December,December2017,101.34,1.3
2018,December,December2018,104.63,4.6
2019,December,December2019,103.83,3.8
2020,December,December2020,102.63,2.6
